Exp,Mouse,Line,Group,Inf1,Inf2,Protein,Dpi,[IFNg] serum,[IgE] serum,[IgG1] serum,[IgG2a] serum,[IL-4] serum,[IL-5] serum,[IL-10] serum,[IFNg] Ag MLN stim,[IFN] CD3 MLN stim,[IFN] Media MLN stim,[IL-5] Media MLN stim,[IL-5] Ag MLN stim,[IL-5] CD3 MLN stim,[IL-10] Media MLN stim,[IL-10] CD MLN stim,[IL-10] Ag MLN stim,[IL-17]Media MLN stim,[IL-17] CD MLN stim,[IL-17] Ag MLN stim,[GAPDH] QPCR Gut,[Arg1] QPCR Gut,[CD36] QPCR Gut,[Idlr] QPCR Gut,[iNOS] QPCR Gut,[PPARg1&2] QPCR Gut,[RELMa] QPCR Gut,[Arg1] QPCR Spleen,[CD36] QPCR Spleen,[GAPDH] QPCR Spleen,[Idlr] QPCR Spleen,[iNOS] QPCR spleen,[PPARg1&2] QPCR spleen,[RELMa] QPCR spleen,wean BW,BW1,BW2,BW3,BW4,BW5,BW6,BW7,BW8,BW9,BW10,BW11,BW12,BWd9,BWd21,FinalBW,ADWG,ADWG expt,ADWG expt diet,FI 1,FI 2,FI 3,FI 4,FI 5,FI 6,FI 7,FI 8,FI 9,FI 10,FI 11,ADFI,ADFI expt,spleen wt,gut wt,Spl_BW,Gut_BW,granulomas,colon contents,wet carcass wt,dry carcass wt,DMR ratio,Fat %,EIC,Adult Male,Adult Female,Juv Male,Juv Female,Total worms,tWB,PCF,Juv Per
SB-105,129,ROL,0_1,0,1,LP,21,0,0.226,"12,800.00",0,0,0.035,0,0,3.975,0,0,0,0.385,0.644,1.165,0.256,0,0,0,0.492,0,0.023,4.61,0.035,0.05,0.001,0.003,0,0.003,0.006,0.003,0.23,0,7.26,8.65,10.21,11.39,11.43,10.73,12.1,11.29,11.89,11.66,11.93,12.29,12.43,,12.98,12.98,0.173,0.069,0.073,2.778,3.657,2.713,2.487,2.803,2.103,2.26,2.543,1.605,2.197,2.128,,,0.046,0.776,3.544,59.784,0,0.1,12.19,3.8,0.312,5.026,4536.00,20,24,0,0,44,1.653,189,0
SB-105,131,ROL,0_0,0,0,LP,21,0,0.002,0,0,0,0,0,0,2.95,0,0,0,0,4.474,0.281,0,0,0,0,0.001,0,0,0.006,0,0,0,0.042,0.005,0.072,0.226,0.067,0,0.001,5.79,7.05,7.31,8.69,11.4,12.09,12.34,12.1,12.43,12.88,13.34,13.24,13.76,,14.02,14.02,0.249,0.232,0.14,2.095,2.797,3.038,3.087,2.578,2.58,2.715,2.673,2.583,2.5,2.558,,,0.026,0.657,1.854,46.862,0,0.08,13.39,5.1,0.381,12.84,0.00,0,0,0,0,0,0,*,*
SB-105,132,ROH,1_1,1,1,LP,21,0,,"496,000.00","3,200.00",0,0.83,0,0,3.43,0,0,0,2.78,0,0.133,3.855,0,0.573,0,0.155,0.034,0.151,0.009,0.021,0.032,0.129,2.56,0.03,0.378,0.599,0.066,0.075,0.025,15.91,19.36,25.79,30.17,35.78,34.96,39.16,38.97,34.59,35.49,34.84,34.85,32.27,,32.26,32.26,0.495,0.091,-0.575,4.988,5.513,5.925,5.157,5.233,5.07,3.543,4.103,3.878,3.487,3.083,,,0.16,2.579,4.96,79.944,54,0.07,27.54,10.8,0.392,14.114,0.00,2,0,0,0,2,0.477,*,0
SB-105,133,ROH,0_1,0,1,HP,9,0,0.018,0,400,0.025,0,0,0,3.277,2.244,0.605,0,0.663,0.044,7.943,0,0,0,0,0.543,0.057,0.176,,,0.074,0.078,0.083,0,0.066,0.011,0.044,0.32,0.043,15.71,19.4,26.84,30.72,34.37,33.57,37.61,40.08,46,45.88,,,,47,,47,0.948,0.708,0.783,5.033,5.57,5.275,5.49,5.058,5.84,5.73,4.01,,,,,,0.19,2.639,4.043,56.149,0,0.06,42.7,17.4,0.407,15.847,0.00,2,1,0,1,4,0.699,0,25
SB-105,134,ROH,1_1,1,1,HP,9,0,0.232,"496,000.00",800,0,0,0,0,0,0,0,0,0.132,0.062,0.096,0.062,0,0,0,,,,0.11,0.193,,,,,,,,,,14.61,17.67,24.52,29.29,35.05,34.26,38.19,40.56,42.98,43.41,,,,44.34,,44.34,0.901,0.654,0.513,4.15,5.503,5.925,5.353,4.968,6.217,4.665,3.507,,,,,,0.217,3.08,4.894,69.463,31,0.19,38.07,14.6,0.384,13.136,0.00,0,0,0,0,0,0,*,*
SB-105,135,ROH,0_1,0,1,HP,21,0,0.152,"25,600.00",0,0,0,0,0,0,0,4.384,2.473,9.968,0.376,20.805,2.397,0,1.163,0,0.087,0,0,0.401,0.002,0.001,0.005,0.233,0.003,0.296,0.077,0.046,0.057,0.064,13.47,16.43,17.85,25.38,30.64,29.87,35.29,40,42.94,46.56,50.54,51.28,54.05,,55.75,55.75,1.281,1.32,1.705,3.043,5.717,5.413,4.927,5.193,6.147,5.685,5.39,5.733,4.847,5.168,,,0.26,3.846,4.664,68.987,17,0.09,48.94,22.7,0.464,22.213,127.50,4,10,0,0,14,1.176,12.75,0
SB-105,136,ROH,1_1,1,1,HP,21,0,0.403,"496,000.00",0,0,0,0,0,0,0,0,0.016,1.207,0,0,0,0,0,0,0.092,0.012,0.091,0.038,0.005,0.047,0.069,0.33,0.003,0.158,0.144,0.094,0.294,0.135,13.14,15.08,20.95,27.1,32.86,32.15,36.24,37.87,39.66,41.44,43.41,44.38,48.47,,48.81,48.81,1.081,0.944,1.048,4.163,5.49,5.63,5.123,4.598,5.61,4.498,4.007,3.875,4.52,5.16,,,0.159,2.84,3.258,58.185,136,0.32,43.19,17.8,0.412,16.371,0.00,2,0,0,0,2,0.477,*,0
SB-105,137,ROH,0_1,0,1,HP,9,0,0.083,400,"1,600.00",0,0,0,0,0,0,0,0,2.926,0.048,2.246,0.081,0,0,0,,,,,,,,,,,,,,,15.81,18.46,22.85,28.31,32.99,33.25,38.61,40.94,43.95,47.11,,,,47.5,,47.5,0.96,0.834,0.741,4.275,5.69,5.52,5.133,5.83,6.14,4.97,5.457,,,,,,0.19,2.58,4,54.316,0,0.14,43.15,17.9,0.415,16.676,0.00,3,5,0,4,12,1.114,0,33.333
SB-105,138,ROH,1_0,1,0,HP,21,0,0.068,"248,000.00","3,200.00",0,0,0,0,0,0,0,0,0.001,0,0,3.218,0,0,0,0.042,0,0,0.032,0.526,0.004,0.007,0.33,0.13,0,0.881,0.148,0.23,0.072,15.84,18.38,24.2,29.8,34.76,35.4,38.85,40.8,45.2,47.09,46.59,48.81,53.41,,55.11,55.11,1.19,1.1,1.355,4.235,5.98,5.333,5.883,5.263,6.337,5.318,4.437,3.423,5.407,5.05,,,0.145,3.41,2.631,61.876,54,0.13,49.06,21.7,0.442,19.782,0.00,0,0,0,0,0,0,*,*
SB-105,139,ROH,1_1,1,1,HP,9,0,0.26,"248,000.00",800,0.048,0,0,0,0,0,0,0,0.138,0.034,0.096,0.048,0,0,0,0.367,0.066,0.089,0.018,0.084,0.035,0.126,1.595,0.027,0.312,0.348,0.088,0.315,0.187,13.44,16.66,22.4,27.82,32.49,32.45,36.31,40.33,41.49,42.87,,,,44.68,,44.68,0.947,0.733,0.698,4.085,5.713,5.46,5.097,4.9,6.4,4.65,4.2,,,,,,0.184,2.683,4.107,60.049,55,0.14,41.55,16.1,0.387,13.586,0.00,0,1,0,0,1,0.301,0,0
